event_id,ticker,institution_name,institution_id,institution_type,event_type,event_date_time_utc,event_date_time_local,event_date,event_time_local,event_headline,webcast_link,contact_info,fiscal_year,fiscal_period,data_fetched_timestamp
EVT001,RY-CA,Royal Bank of Canada,1,Canadian_Banks,Earnings,2025-11-27T13:00:00Z,2025-11-27T08:00:00-05:00,2025-11-27,08:00 EST,Q4 2025 Earnings Conference Call,https://example.com/webcast/ry-q4,Contact: Investor Relations | Phone: 1-800-123-4567,2025,Q4,2025-10-21T12:00:00Z
EVT002,BMO-CA,Bank of Montreal,2,Canadian_Banks,Earnings,2025-12-03T12:00:00Z,2025-12-03T07:00:00-05:00,2025-12-03,07:00 EST,Q4 2025 Earnings Call,https://example.com/webcast/bmo-q4,Contact: IR Team | Phone: 1-800-234-5678,2025,Q4,2025-10-21T12:00:00Z
EVT003,TD-CA,Toronto-Dominion Bank,3,Canadian_Banks,Dividend,2025-11-15T14:00:00Z,2025-11-15T09:00:00-05:00,2025-11-15,09:00 EST,Quarterly Dividend Declaration,,,2025,Q4,2025-10-21T12:00:00Z
EVT004,BNS-CA,Bank of Nova Scotia,4,Canadian_Banks,Conference,2025-12-10T15:00:00Z,2025-12-10T10:00:00-05:00,2025-12-10,10:00 EST,Morgan Stanley Financials Conference,https://example.com/conference/morgan-stanley,Contact: Corporate Communications,2025,,2025-10-21T12:00:00Z
EVT005,CM-CA,Canadian Imperial Bank of Commerce,5,Canadian_Banks,ShareholdersMeeting,2026-04-15T14:00:00Z,2026-04-15T10:00:00-04:00,2026-04-15,10:00 EDT,2026 Annual Shareholders Meeting,https://example.com/agm/cibc-2026,Contact: Secretary | Phone: 1-800-456-7890,2026,,2025-10-21T12:00:00Z
EVT006,JPM-US,JPMorgan Chase & Co.,25,US_Banks,Earnings,2025-10-11T12:30:00Z,2025-10-11T08:30:00-04:00,2025-10-11,08:30 EDT,Q3 2025 Earnings Call,https://example.com/webcast/jpm-q3,Contact: IR | Phone: 1-212-270-6000,2025,Q3,2025-10-21T12:00:00Z
EVT007,BAC-US,Bank of America Corporation,26,US_Banks,Earnings,2025-10-15T13:00:00Z,2025-10-15T09:00:00-04:00,2025-10-15,09:00 EDT,Q3 2025 Earnings Release,https://example.com/webcast/bac-q3,,2025,Q3,2025-10-21T12:00:00Z
EVT008,WFC-US,Wells Fargo & Company,27,US_Banks,ConfirmedEarningsRelease,2025-10-11T11:00:00Z,2025-10-11T07:00:00-04:00,2025-10-11,07:00 EDT,Q3 2025 Earnings Release - Confirmed,,,2025,Q3,2025-10-21T12:00:00Z
EVT009,C-US,Citigroup Inc.,28,US_Banks,Dividend,2025-11-01T13:00:00Z,2025-11-01T09:00:00-04:00,2025-11-01,09:00 EDT,Quarterly Dividend Announcement,,,2025,Q4,2025-10-21T12:00:00Z
EVT010,GS-US,Goldman Sachs Group Inc.,29,US_Banks,AnalystsInvestorsMeeting,2025-12-05T17:00:00Z,2025-12-05T12:00:00-05:00,2025-12-05,12:00 EST,2025 Investor Day,https://example.com/investorday/gs-2025,Contact: Investor Relations,2025,,2025-10-21T12:00:00Z
